"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"C1";"22 pF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C2";"47uf";"CPOL-USE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C3";"22 pF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"IC1";"L293D";"L293D";"DIL16";"PUSH-PULL 4 CHANNEL DRIVER";"";"";"L293D";"9589619";"56P8249";"";"";
"JP1";"";"PINHD-1X20";"1X20";"PIN HEADER";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X20";"1X20";"PIN HEADER";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";
"JP4";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";
"JP5";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";
"LED2";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";
"LED3";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";
"MNT1";"HOLE_MNT_0.135";"HOLE_MNT_0.135";"HOLE_MNT_#5-40";"Mounting Hole. 0.135 plated hole created for a #5-40 screw, McMaster p/n 91772A125";"";"";"";"";"";"";"";
"MNT2";"HOLE_MNT_0.135";"HOLE_MNT_0.135";"HOLE_MNT_#5-40";"Mounting Hole. 0.135 plated hole created for a #5-40 screw, McMaster p/n 91772A125";"";"";"";"";"";"";"";
"MNT3";"HOLE_MNT_0.135";"HOLE_MNT_0.135";"HOLE_MNT_#5-40";"Mounting Hole. 0.135 plated hole created for a #5-40 screw, McMaster p/n 91772A125";"";"";"";"";"";"";"";
"MNT4";"HOLE_MNT_0.135";"HOLE_MNT_0.135";"HOLE_MNT_#5-40";"Mounting Hole. 0.135 plated hole created for a #5-40 screw, McMaster p/n 91772A125";"";"";"";"";"";"";"";
"Q1";"";"XTAL/S";"QS";"CRYSTAL";"";"";"";"";"";"";"";
"R1";"10k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R2";"470";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R3";"1k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R4";"1k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R5";"1k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"S1";"DTS-3";"DTS-3";"DTS-3";"";"";"";"";"";"";"";"";
"U$1";"PIC18F4550-I/P";"PIC18F4550-I/P";"DIP254P1524X635-40";"USB Microcontrollers";"USB Microcontrollers";"";"PIC18F4550-I/P";"9321357";"74K8623";"DIP-40";"Microchip";
"U$2";"DBCONN-1X2";"DBCONN-1X2";"DBCONN-1X2";"";"";"";"";"";"";"";"";
"U$3";"DBCONN-1X2";"DBCONN-1X2";"DBCONN-1X2";"";"";"";"";"";"";"";"";
